15	10	E	-7041639.959680696	200
transitionprobs	15	9	4.291675339797504E-4
transitionprobs	15	10	0.0
transitionprobs	15	11	0.012854069264340011
transitionprobs	15	12	3.770586912907251E-4
transitionprobs	15	13	0.021401668187221428
transitionprobs	15	14	0.5321868401084195
transitionprobs	15	15	0.38940410324567687
emissionprobs	1	0	Ctcf	0	0.9942549152093157
emissionprobs	1	0	Ctcf	1	0.0057450847906843575
emissionprobs	1	1	H3k27ac	0	0.9988578648928005
emissionprobs	1	1	H3k27ac	1	0.0011421351071994683
emissionprobs	1	2	H3k27me3	0	0.9998619763969182
emissionprobs	1	2	H3k27me3	1	1.38023603081762E-4
emissionprobs	1	3	H3k36me3	0	0.7934872387981969
emissionprobs	1	3	H3k36me3	1	0.206512761201803
emissionprobs	1	4	H3k4me1	0	0.9982127734061221
emissionprobs	1	4	H3k4me1	1	0.0017872265938778987
emissionprobs	1	5	H3k4me2	0	0.999999998909751
emissionprobs	1	5	H3k4me2	1	1.090248944685508E-9
emissionprobs	1	6	H3k4me3	0	0.9999096950703702
emissionprobs	1	6	H3k4me3	1	9.030492962979901E-5
emissionprobs	1	7	H3k79me2	0	0.9668427751890297
emissionprobs	1	7	H3k79me2	1	0.03315722481097018
emissionprobs	1	8	H3k9ac	0	0.9965153318724795
emissionprobs	1	8	H3k9ac	1	0.0034846681275205542
emissionprobs	1	9	H4k20me1	0	0.992511164606355
emissionprobs	1	9	H4k20me1	1	0.007488835393644918
emissionprobs	2	0	Ctcf	0	0.9883980843453599
emissionprobs	2	0	Ctcf	1	0.011601915654640138
emissionprobs	2	1	H3k27ac	0	0.9892839309202655
emissionprobs	2	1	H3k27ac	1	0.010716069079734445
emissionprobs	2	2	H3k27me3	0	0.999918639766861
emissionprobs	2	2	H3k27me3	1	8.136023313893618E-5
emissionprobs	2	3	H3k36me3	0	0.42949586615053054
emissionprobs	2	3	H3k36me3	1	0.5705041338494694
emissionprobs	2	4	H3k4me1	0	0.9717137006644935
emissionprobs	2	4	H3k4me1	1	0.028286299335506603
emissionprobs	2	5	H3k4me2	0	0.9962567130276485
emissionprobs	2	5	H3k4me2	1	0.003743286972351628
emissionprobs	2	6	H3k4me3	0	0.9995442505507813
emissionprobs	2	6	H3k4me3	1	4.557494492186718E-4
emissionprobs	2	7	H3k79me2	0	0.22977936282880862
